# Wikidata Lexemes (CC0 1.0), Danish (Q9035) lexemes whose lemma contains a space. Retrieved 2026-09-25 via https://qlever.dev/api/wikidata with:
# SELECT ?l ?lemma ?cat WHERE { ?l dct:language wd:Q9035 ; wikibase:lemma ?lemma ; wikibase:lexicalCategory ?cat . FILTER(CONTAINS(STR(?lemma), " ")) }
<http://www.wikidata.org/entity/L1263834>	"dag til dag-levering"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1264046>	"don juan"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1264488>	"de facto-anerkendelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1264950>	"lit de parade"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1265864>	"a la grecque-bort"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1266719>	"persona non grata"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1266910>	"falde på halen-komedie"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1267227>	"a vista-veksel"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1267399>	"gør det selv-mand"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1267682>	"lapis lazuli"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1268065>	"slå om-nederdel"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1268079>	"public service"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1268263>	"irish coffee"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1268699>	"death metal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1268815>	"a priori-antagelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1268891>	"tro og love-erklæring"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1269158>	"åbent hus-dag"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1269175>	"executor testamenti"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1269362>	"rector magnificus"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1269364>	"homo sapiens"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1269604>	"crepe de chine"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1269740>	"social- og sundhedsassistent"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1270595>	"nature morte"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1270742>	"mixed grill"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1270743>	"deus ex machina"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1270987>	"concerto grosso"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1271282>	"pater familias"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1271564>	"port salut"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1271602>	"earl grey-te"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1271606>	"eau de toilette"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1272048>	"happy end"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1272104>	"new age"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1272338>	"public service-kanal"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1272716>	"mund til mund-metode"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1273070>	"caffe latte"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1273304>	"negro spiritual"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1273573>	"crepe georgette"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1273677>	"to minus en-vej"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1273856>	"pro rata-hæftelse"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1273969>	"hors d'oeuvre"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1274410>	"social- og sundhedsforvaltning"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1274792>	"pas de deux"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1275136>	"femme fatale"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1275477>	"jord- og betonarbejder"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1275543>	"fromage frais"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1275761>	"bøf stroganoff"@da	<http://www.wikidata.org/entity/Q1084>
<http://www.wikidata.org/entity/L1275783>	"golden retriever"@da	<http://www.wikidata.org/entity/Q1084>
